month,total_polygons,total_area_km2,peak_delta_db,mean_delta_db,expansion_polygons,construction_polygons,equipment_polygons,activity_phase,month_str
2025-04,765,37.3705,2.88,0.207,0,0,0,BASELINE,2025-04
2025-05,1009,61.7652,3.27,0.194,0,2,0,LOW ACTIVITY,2025-05
2025-06,772,27.5978,8.05,0.511,10,12,11,MODERATE ACTIVITY,2025-06
2025-07,1145,53.5979,14.61,0.348,9,12,4,HIGH ACTIVITY,2025-07
2025-08,762,32.4656,17.22,0.592,14,20,17,HIGH ACTIVITY,2025-08
2025-09,1187,107.3076,8.1,0.285,9,16,3,MODERATE ACTIVITY,2025-09
2025-10,850,51.1182,4.53,0.233,2,2,7,LOW ACTIVITY,2025-10
2025-11,996,57.6458,6.23,0.352,6,15,11,MODERATE ACTIVITY,2025-11
2025-12,1212,63.6852,5.31,0.214,2,5,2,MODERATE ACTIVITY,2025-12
2026-01,725,75.037,3.81,0.175,1,3,1,LOW ACTIVITY,2026-01
2026-02,403,25.954,2.75,0.16,0,0,0,BASELINE,2026-02
2026-03,540,37.5067,2.43,0.329,0,0,0,BASELINE,2026-03
